reportId,productId,serialNo,failureDate,location,failureMode,severity,reportedBy
R300089,P1039,SN400089,2025-10-12,Hyderabad,noise_vibration,2,dealer
R300091,P1001,SN400091,2025-01-20,Ahmedabad,pad_wear,4,customer
R300094,P1012,SN400094,2023-07-22,Chennai,sensor_failure,5,customer
R300095,P1055,SN400095,2024-03-27,Bangalore,sensor_failure,4,customer
R300096,P1008,SN400096,2024-10-14,Village_B,brake_shim_wear,2,customer
R300097,P1047,SN400097,2023-07-04,Nagpur,brake_shim_wear,3,customer
R300098,P1056,SN400098,2024-01-30,Village_B,pad_wear,5,customer
R300099,P1031,SN400099,2025-04-14,Lucknow,leakage,5,customer
R300100,P1017,SN400100,2024-03-28,Patna,brake_shim_wear,2,dealer
R300102,P1042,SN400102,2024-10-09,Bangalore,brake_shim_wear,2,customer
R300103,P1038,SN400103,2024-05-10,Hyderabad,pad_wear,3,dealer
R300104,P1029,SN400104,2023-11-30,Bangalore,overheating,3,dealer
R300105,P1036,SN400105,2023-10-12,Chennai,leakage,3,customer
R300106,P1036,SN400106,2024-12-17,Village_B,leakage,4,customer
R300108,P1053,SN400108,2023-11-11,Lucknow,leakage,4,dealer
R300109,P1049,SN400109,2024-08-17,Mumbai,overheating,3,dealer
R300111,P1010,SN400111,2024-11-05,Jaipur,overheating,5,dealer
R300112,P1002,SN400112,2025-10-01,Pune,overheating,3,customer
R300113,P1047,SN400113,2025-03-21,Mumbai,sensor_failure,5,customer
R300114,P1023,SN400114,2024-06-13,Village_A,leakage,3,dealer
R300115,P1047,SN400115,2023-12-08,Chennai,overheating,5,dealer
R300117,P1007,SN400117,2025-11-11,Mumbai,sensor_failure,2,dealer
R300118,P1025,SN400118,2024-01-14,Village_B,brake_shim_wear,3,dealer
R300119,P1025,SN400119,2025-09-01,Village_C,leakage,3,dealer
R300121,P1008,SN400121,2025-06-11,Lucknow,sensor_failure,3,dealer
R300122,P1036,SN400122,2025-09-20,Village_A,noise_vibration,5,dealer
R300123,P1046,SN400123,2024-07-09,Jaipur,pad_wear,4,dealer
R300124,P1027,SN400124,2023-11-26,Bangalore,sensor_failure,4,dealer
R300126,P1005,SN400126,2024-11-29,Delhi,leakage,1,dealer
R300127,P1019,SN400127,2024-07-08,Pune,overheating,2,customer
R300128,P1012,SN400128,2024-05-03,Chennai,pad_wear,3,customer
R300129,P1059,SN400129,2024-07-04,Village_C,pad_wear,4,customer
R300131,P1041,SN400131,2023-10-28,Nagpur,brake_shim_wear,4,customer
R300133,P1019,SN400133,2024-06-05,Hyderabad,brake_shim_wear,4,customer
R300136,P1001,SN400136,2023-12-22,Village_A,overheating,4,dealer
R300138,P1005,SN400138,2025-07-01,Kolkata,overheating,2,dealer
R300139,P1038,SN400139,2023-08-27,Jaipur,pad_wear,4,customer
R300142,P1032,SN400142,2025-01-15,Nagpur,brake_shim_wear,5,customer
R300144,P1057,SN400144,2024-06-23,Village_A,sensor_failure,3,dealer
R300145,P1002,SN400145,2023-10-20,Jaipur,overheating,3,customer
R300146,P1008,SN400146,2025-05-27,Patna,noise_vibration,2,customer
R300147,P1025,SN400147,2024-09-04,Mumbai,noise_vibration,3,customer
R300148,P1027,SN400148,2024-03-30,Hyderabad,overheating,2,dealer
R300149,P1034,SN400149,2024-10-22,Village_B,overheating,4,customer
R300150,P1011,SN400150,2023-12-03,Chennai,brake_shim_wear,5,customer
R300152,P1019,SN400152,2024-11-07,Bangalore,noise_vibration,4,dealer
R300153,P1006,SN400153,2024-02-19,Village_B,pad_wear,2,customer
R300158,P1032,SN400158,2024-01-17,Bangalore,noise_vibration,3,dealer
R300159,P1017,SN400159,2025-04-20,Bangalore,overheating,3,dealer
R300160,P1005,SN400160,2024-02-23,Village_B,noise_vibration,2,customer
R300161,P1025,SN400161,2025-11-03,Jaipur,pad_wear,5,dealer
R300162,P1036,SN400162,2024-04-05,Hyderabad,overheating,4,dealer
R300163,P1045,SN400163,2023-07-04,Indore,sensor_failure,2,customer
R300165,P1048,SN400165,2024-09-14,Hyderabad,noise_vibration,3,dealer
R300166,P1054,SN400166,2025-04-10,Bangalore,overheating,4,customer
R300168,P1043,SN400168,2025-06-17,Village_A,leakage,2,dealer
R300169,P1046,SN400169,2024-08-18,Hyderabad,pad_wear,3,customer
R300171,P1057,SN400171,2024-03-06,Ahmedabad,pad_wear,3,dealer
R300172,P1058,SN400172,2025-07-10,Ahmedabad,overheating,3,dealer
R300173,P1030,SN400173,2025-05-18,Lucknow,overheating,1,customer
R300174,P1019,SN400174,2025-09-01,Bangalore,pad_wear,2,customer
R300175,P1047,SN400175,2025-04-09,Indore,sensor_failure,4,dealer
R300176,P1005,SN400176,2024-08-10,Village_B,pad_wear,5,customer
R300177,P1018,SN400177,2024-12-19,Village_A,pad_wear,4,dealer
R300180,P1021,SN400180,2025-08-06,Hyderabad,sensor_failure,4,customer
R300181,P1023,SN400181,2024-02-08,Hyderabad,overheating,5,customer
R300183,P1005,SN400183,2024-12-06,Lucknow,brake_shim_wear,3,customer
R300185,P1027,SN400185,2024-08-02,Delhi,sensor_failure,3,customer
R300186,P1049,SN400186,2024-05-30,Delhi,sensor_failure,3,dealer
R300190,P1026,SN400190,2024-06-02,Patna,sensor_failure,3,customer
R300192,P1019,SN400192,2023-10-30,Chennai,leakage,4,customer
R300194,P1058,SN400194,2024-10-22,Hyderabad,brake_shim_wear,3,dealer
R300195,P1046,SN400195,2024-06-14,Jaipur,noise_vibration,3,customer
R300196,P1046,SN400196,2023-12-17,Lucknow,leakage,4,customer
R300197,P1036,SN400197,2024-11-15,Nagpur,sensor_failure,4,dealer
R300198,P1057,SN400198,2024-02-25,Village_A,pad_wear,4,dealer
R300199,P1057,SN400199,2025-01-08,Village_B,noise_vibration,2,customer
R300200,P1016,SN400200,2025-05-12,Lucknow,brake_shim_wear,3,dealer
R300201,P1040,SN400201,2024-01-11,Bangalore,leakage,5,dealer
R300202,P1003,SN400202,2023-11-10,Bangalore,leakage,3,dealer
R300204,P1057,SN400204,2024-06-04,Village_C,leakage,1,dealer
R300205,P1027,SN400205,2023-11-10,Village_C,noise_vibration,4,dealer
R300207,P1028,SN400207,2024-09-06,Village_B,sensor_failure,4,customer
R300208,P1043,SN400208,2023-08-18,Mumbai,sensor_failure,1,customer
R300209,P1007,SN400209,2025-02-26,Kolkata,brake_shim_wear,3,dealer
R300211,P1000,SN400211,2023-09-30,Bangalore,overheating,1,dealer
R300213,P1015,SN400213,2025-07-15,Jaipur,sensor_failure,1,dealer
R300214,P1056,SN400214,2025-05-05,Patna,brake_shim_wear,2,dealer
R300215,P1006,SN400215,2024-08-25,Lucknow,noise_vibration,4,customer
R300216,P1041,SN400216,2025-02-21,Delhi,noise_vibration,3,customer
R300218,P1046,SN400218,2025-02-17,Village_C,leakage,3,customer
R300220,P1056,SN400220,2023-12-18,Jaipur,pad_wear,4,customer
R300222,P1056,SN400222,2024-12-26,Jaipur,brake_shim_wear,3,customer
R300224,P1016,SN400224,2025-04-08,Lucknow,noise_vibration,5,customer
R300226,P1034,SN400226,2023-09-30,Village_C,noise_vibration,3,dealer
R300227,P1009,SN400227,2024-03-18,Ahmedabad,noise_vibration,4,customer
R300229,P1012,SN400229,2025-08-29,Indore,noise_vibration,1,customer
R300230,P1034,SN400230,2025-01-03,Pune,pad_wear,2,customer
R300233,P1010,SN400233,2024-12-22,Ahmedabad,overheating,5,customer
R300234,P1034,SN400234,2025-07-28,Chennai,noise_vibration,4,customer
R300235,P1029,SN400235,2024-04-20,Ahmedabad,leakage,3,customer
R300236,P1003,SN400236,2023-08-11,Jaipur,leakage,3,customer
R300237,P1010,SN400237,2024-11-17,Indore,pad_wear,3,customer
R300238,P1054,SN400238,2024-04-09,Mumbai,noise_vibration,2,customer
R300239,P1051,SN400239,2023-07-29,Ahmedabad,brake_shim_wear,3,customer
R300241,P1021,SN400241,2025-02-27,Patna,overheating,2,customer
R300243,P1057,SN400243,2024-06-27,Village_C,pad_wear,3,dealer
R300244,P1044,SN400244,2024-06-28,Nagpur,pad_wear,5,customer
R300245,P1052,SN400245,2025-04-16,Delhi,pad_wear,4,customer
R300246,P1045,SN400246,2024-11-15,Pune,pad_wear,5,customer
R300247,P1036,SN400247,2024-05-19,Nagpur,noise_vibration,2,dealer
R300249,P1016,SN400249,2024-04-06,Kolkata,sensor_failure,4,customer
R300250,P1033,SN400250,2023-10-23,Mumbai,overheating,3,customer
R300253,P1003,SN400253,2024-05-18,Lucknow,noise_vibration,5,dealer
R300254,P1016,SN400254,2023-08-16,Mumbai,pad_wear,2,customer
R300255,P1059,SN400255,2025-06-10,Delhi,pad_wear,4,dealer
R300259,P1055,SN400259,2025-07-20,Village_A,noise_vibration,4,dealer
R300260,P1018,SN400260,2025-08-24,Pune,pad_wear,3,customer
R300261,P1013,SN400261,2024-08-13,Village_A,sensor_failure,4,dealer
R300262,P1046,SN400262,2023-11-16,Village_C,leakage,3,dealer
R300264,P1038,SN400264,2023-11-29,Patna,overheating,5,customer
R300265,P1023,SN400265,2023-08-05,Pune,sensor_failure,5,customer
R300270,P1041,SN400270,2025-01-18,Patna,noise_vibration,3,customer
R300271,P1046,SN400271,2025-06-10,Mumbai,leakage,2,customer
R300272,P1051,SN400272,2025-09-29,Delhi,overheating,3,customer
R300273,P1007,SN400273,2025-11-02,Nagpur,brake_shim_wear,2,dealer
R300274,P1007,SN400274,2025-02-21,Chennai,leakage,3,customer
R300276,P1057,SN400276,2023-07-18,Delhi,leakage,4,customer
R300278,P1003,SN400278,2024-06-15,Delhi,noise_vibration,3,customer
R300279,P1016,SN400279,2025-07-21,Village_B,leakage,1,dealer
R300280,P1036,SN400280,2025-03-16,Pune,pad_wear,3,dealer
R300281,P1019,SN400281,2025-07-24,Ahmedabad,sensor_failure,1,customer
R300282,P1024,SN400282,2025-05-17,Indore,pad_wear,5,customer
R300284,P1057,SN400284,2025-10-21,Village_C,noise_vibration,2,dealer
R300285,P1007,SN400285,2025-04-20,Nagpur,leakage,3,dealer
R300287,P1021,SN400287,2024-10-25,Kolkata,sensor_failure,4,dealer
R300288,P1025,SN400288,2025-01-25,Patna,pad_wear,5,customer
R300289,P1011,SN400289,2023-10-15,Village_C,noise_vibration,4,dealer
R300291,P1031,SN400291,2025-07-12,Village_B,pad_wear,4,dealer
R300292,P1033,SN400292,2024-03-21,Village_A,pad_wear,3,dealer
R300293,P1057,SN400293,2024-12-07,Hyderabad,brake_shim_wear,3,dealer
R300295,P1030,SN400295,2025-03-26,Lucknow,brake_shim_wear,1,customer
R300297,P1020,SN400297,2025-02-04,Lucknow,pad_wear,2,customer
R300298,P1024,SN400298,2023-06-18,Kolkata,brake_shim_wear,5,dealer
R300299,P1053,SN400299,2025-03-04,Village_A,leakage,3,dealer
R300302,P1033,SN400302,2023-07-20,Jaipur,overheating,3,customer
R300303,P1023,SN400303,2023-06-03,Village_B,sensor_failure,5,dealer
R300304,P1021,SN400304,2023-09-03,Village_A,sensor_failure,3,dealer
R300306,P1016,SN400306,2023-12-27,Indore,sensor_failure,3,customer
R300307,P1055,SN400307,2025-09-27,Patna,sensor_failure,5,customer
R300309,P1015,SN400309,2024-07-30,Hyderabad,leakage,3,customer
R300312,P1021,SN400312,2025-09-11,Bangalore,noise_vibration,2,customer
R300313,P1051,SN400313,2025-01-21,Indore,sensor_failure,2,customer
R300314,P1010,SN400314,2025-05-21,Lucknow,sensor_failure,3,dealer
R300315,P1055,SN400315,2024-05-20,Village_A,pad_wear,3,customer
R300318,P1004,SN400318,2024-12-26,Bangalore,noise_vibration,4,dealer
R300320,P1055,SN400320,2023-12-31,Jaipur,brake_shim_wear,3,dealer
R300321,P1032,SN400321,2023-08-23,Village_B,brake_shim_wear,4,dealer
R300322,P1038,SN400322,2024-10-14,Village_C,sensor_failure,3,dealer
R300324,P1011,SN400324,2023-11-24,Delhi,sensor_failure,5,dealer
R300325,P1046,SN400325,2024-04-08,Kolkata,sensor_failure,3,dealer
R300328,P1056,SN400328,2023-10-23,Nagpur,sensor_failure,3,dealer
R300330,P1036,SN400330,2023-07-15,Hyderabad,sensor_failure,4,dealer
R300332,P1020,SN400332,2023-07-06,Ahmedabad,brake_shim_wear,4,customer
R300334,P1033,SN400334,2024-01-15,Ahmedabad,pad_wear,5,dealer
R300335,P1006,SN400335,2024-07-23,Pune,pad_wear,1,customer
R300337,P1010,SN400337,2024-07-18,Pune,brake_shim_wear,2,customer
R300338,P1008,SN400338,2025-03-11,Delhi,overheating,2,dealer
R300339,P1059,SN400339,2025-09-21,Chennai,leakage,1,customer
R300340,P1032,SN400340,2024-03-18,Nagpur,noise_vibration,4,customer
R300341,P1040,SN400341,2025-09-26,Chennai,brake_shim_wear,4,dealer
R300342,P1018,SN400342,2023-07-15,Hyderabad,brake_shim_wear,3,customer
R300343,P1018,SN400343,2024-06-21,Nagpur,brake_shim_wear,3,dealer
R300346,P1027,SN400346,2024-03-22,Village_C,leakage,4,customer
R300347,P1017,SN400347,2025-04-26,Hyderabad,overheating,4,customer
R300349,P1024,SN400349,2024-04-29,Hyderabad,leakage,3,customer
R300350,P1051,SN400350,2025-05-11,Patna,overheating,3,dealer
R300351,P1037,SN400351,2025-06-26,Nagpur,pad_wear,3,customer
R300352,P1004,SN400352,2024-06-23,Nagpur,brake_shim_wear,5,dealer
R300353,P1042,SN400353,2024-02-12,Ahmedabad,brake_shim_wear,3,customer
R300354,P1027,SN400354,2023-08-18,Ahmedabad,sensor_failure,2,customer
R300355,P1019,SN400355,2025-02-22,Village_C,leakage,3,dealer
R300356,P1026,SN400356,2024-10-12,Village_C,overheating,5,dealer
R300358,P1021,SN400358,2024-02-19,Hyderabad,pad_wear,5,dealer
R300359,P1013,SN400359,2025-10-20,Jaipur,leakage,4,dealer
R300361,P1051,SN400361,2023-07-15,Village_B,leakage,5,customer
R300363,P1003,SN400363,2024-01-28,Pune,pad_wear,3,customer
R300364,P1040,SN400364,2024-01-01,Ahmedabad,leakage,2,dealer
R300365,P1053,SN400365,2024-05-15,Jaipur,noise_vibration,3,customer
R300367,P1034,SN400367,2024-11-22,Lucknow,leakage,5,dealer
R300368,P1050,SN400368,2024-11-17,Patna,sensor_failure,3,dealer
R300370,P1035,SN400370,2023-10-01,Village_C,noise_vibration,3,customer
R300371,P1027,SN400371,2025-08-07,Mumbai,overheating,3,dealer
R300372,P1059,SN400372,2025-07-03,Nagpur,leakage,2,customer
R300373,P1014,SN400373,2023-12-10,Kolkata,sensor_failure,4,dealer
R300375,P1051,SN400375,2025-04-22,Jaipur,pad_wear,3,customer
R300376,P1056,SN400376,2025-09-25,Delhi,brake_shim_wear,4,dealer
R300377,P1048,SN400377,2024-01-17,Hyderabad,overheating,2,dealer
R300379,P1005,SN400379,2024-04-09,Lucknow,overheating,3,dealer
R300380,P1018,SN400380,2023-09-30,Chennai,brake_shim_wear,5,dealer
R300382,P1021,SN400382,2024-04-06,Hyderabad,sensor_failure,5,dealer
R300383,P1038,SN400383,2025-07-23,Pune,leakage,3,customer
R300384,P1041,SN400384,2023-07-09,Village_B,overheating,3,dealer
R300385,P1025,SN400385,2023-10-25,Jaipur,brake_shim_wear,2,customer
R300386,P1007,SN400386,2024-10-31,Patna,brake_shim_wear,3,customer
R300387,P1017,SN400387,2023-09-18,Delhi,brake_shim_wear,3,customer
R300388,P1049,SN400388,2025-07-09,Chennai,overheating,3,dealer
R300389,P1014,SN400389,2025-04-12,Chennai,pad_wear,2,dealer
R300391,P1047,SN400391,2024-01-07,Indore,overheating,4,customer
R300393,P1001,SN400393,2024-12-13,Lucknow,overheating,5,dealer
R300394,P1001,SN400394,2024-03-02,Patna,sensor_failure,2,customer
R300395,P1053,SN400395,2025-10-29,Delhi,pad_wear,2,dealer
R300396,P1036,SN400396,2023-11-10,Jaipur,overheating,2,customer
R300397,P1010,SN400397,2024-05-04,Hyderabad,brake_shim_wear,2,dealer
R300399,P1006,SN400399,2024-08-25,Mumbai,leakage,1,customer
R300400,P1032,SN400400,2024-12-22,Pune,noise_vibration,3,dealer
R300401,P1012,SN400401,2023-11-11,Nagpur,leakage,4,customer
R300402,P1045,SN400402,2025-09-14,Lucknow,overheating,3,dealer
R300403,P1004,SN400403,2025-02-06,Bangalore,leakage,3,dealer
R300404,P1025,SN400404,2024-06-29,Nagpur,pad_wear,3,customer
R300405,P1032,SN400405,2025-10-01,Jaipur,overheating,2,customer
R300407,P1046,SN400407,2024-07-24,Village_C,overheating,2,customer
R300409,P1027,SN400409,2025-07-14,Chennai,leakage,4,dealer
R300412,P1044,SN400412,2024-10-06,Bangalore,sensor_failure,4,customer
R300413,P1032,SN400413,2025-05-12,Jaipur,leakage,5,customer
R300414,P1002,SN400414,2023-08-10,Hyderabad,overheating,1,customer
R300416,P1022,SN400416,2023-09-03,Hyderabad,noise_vibration,4,customer
R300417,P1036,SN400417,2025-09-09,Pune,leakage,1,customer
R300418,P1031,SN400418,2025-04-23,Lucknow,pad_wear,4,customer
R300419,P1052,SN400419,2025-05-21,Village_A,sensor_failure,1,dealer
R300420,P1027,SN400420,2024-11-21,Patna,leakage,5,dealer
R300421,P1022,SN400421,2024-02-23,Nagpur,leakage,4,customer
R300422,P1015,SN400422,2025-07-23,Village_B,sensor_failure,3,customer
R300425,P1003,SN400425,2024-06-28,Pune,overheating,3,customer
R300426,P1056,SN400426,2024-10-19,Nagpur,brake_shim_wear,4,customer
R300427,P1056,SN400427,2025-10-30,Village_A,overheating,5,customer
R300428,P1006,SN400428,2023-07-29,Hyderabad,leakage,3,customer
R300429,P1036,SN400429,2024-11-16,Lucknow,leakage,2,dealer
R300431,P1009,SN400431,2024-05-10,Pune,pad_wear,3,dealer
R300432,P1039,SN400432,2025-11-15,Mumbai,noise_vibration,2,customer
R300433,P1021,SN400433,2023-12-13,Nagpur,brake_shim_wear,4,customer
R300435,P1037,SN400435,2024-12-28,Ahmedabad,overheating,2,dealer
R300436,P1042,SN400436,2024-03-22,Kolkata,overheating,3,dealer
R300437,P1022,SN400437,2023-11-09,Kolkata,brake_shim_wear,4,dealer
R300439,P1036,SN400439,2025-08-08,Ahmedabad,pad_wear,4,customer
R300443,P1026,SN400443,2024-09-19,Village_C,noise_vibration,3,dealer
R300444,P1009,SN400444,2024-07-31,Chennai,overheating,3,dealer
R300445,P1035,SN400445,2024-04-12,Village_A,brake_shim_wear,2,dealer
R300447,P1056,SN400447,2025-05-06,Village_B,brake_shim_wear,2,dealer
R300448,P1049,SN400448,2024-06-14,Indore,overheating,4,dealer
R300449,P1020,SN400449,2023-06-09,Indore,brake_shim_wear,1,customer
R300450,P1038,SN400450,2025-09-08,Village_B,brake_shim_wear,1,dealer
R300451,P1014,SN400451,2023-09-11,Mumbai,pad_wear,4,dealer
R300452,P1006,SN400452,2023-11-21,Indore,sensor_failure,4,dealer
R300453,P1057,SN400453,2023-09-07,Delhi,brake_shim_wear,5,dealer
R300454,P1023,SN400454,2023-08-09,Indore,sensor_failure,2,customer
R300455,P1055,SN400455,2023-09-23,Mumbai,overheating,5,customer
R300456,P1048,SN400456,2024-10-01,Bangalore,brake_shim_wear,4,dealer
R300457,P1039,SN400457,2025-02-18,Kolkata,brake_shim_wear,2,customer
R300458,P1044,SN400458,2025-10-04,Pune,sensor_failure,2,dealer
R300459,P1031,SN400459,2023-09-23,Indore,leakage,4,customer
R300461,P1043,SN400461,2023-08-04,Village_C,brake_shim_wear,5,dealer
R300462,P1015,SN400462,2024-02-15,Kolkata,sensor_failure,3,customer
R300463,P1056,SN400463,2023-11-08,Lucknow,noise_vibration,2,dealer
R300464,P1048,SN400464,2025-04-10,Chennai,leakage,4,customer
R300466,P1033,SN400466,2023-06-03,Pune,leakage,2,customer
R300467,P1024,SN400467,2024-08-02,Jaipur,pad_wear,5,dealer
R300468,P1031,SN400468,2023-09-27,Village_B,noise_vibration,3,customer
R300470,P1003,SN400470,2023-09-01,Jaipur,sensor_failure,4,dealer
R300472,P1001,SN400472,2024-03-13,Kolkata,sensor_failure,5,dealer
R300474,P1019,SN400474,2023-07-15,Kolkata,sensor_failure,3,dealer
R300475,P1002,SN400475,2024-06-30,Village_A,overheating,5,customer
R300478,P1032,SN400478,2024-07-29,Kolkata,sensor_failure,3,customer
R300479,P1001,SN400479,2025-03-15,Lucknow,noise_vibration,3,customer
R300480,P1055,SN400480,2024-09-22,Village_B,noise_vibration,5,dealer
R300482,P1044,SN400482,2025-07-04,Jaipur,noise_vibration,4,customer
R300483,P1021,SN400483,2023-10-28,Pune,overheating,4,customer
R300484,P1043,SN400484,2024-02-19,Kolkata,pad_wear,3,customer
R300485,P1005,SN400485,2025-07-28,Kolkata,overheating,4,customer
R300486,P1001,SN400486,2025-03-25,Delhi,pad_wear,5,dealer
R300487,P1023,SN400487,2023-11-07,Hyderabad,leakage,3,customer
R300489,P1003,SN400489,2024-12-18,Pune,pad_wear,2,dealer
R300490,P1000,SN400490,2025-08-17,Nagpur,noise_vibration,3,customer
R300491,P1024,SN400491,2024-08-01,Pune,pad_wear,4,customer
R300492,P1002,SN400492,2025-07-28,Village_C,noise_vibration,3,dealer
R300493,P1000,SN400493,2025-08-15,Ahmedabad,noise_vibration,4,dealer
R300494,P1029,SN400494,2023-12-24,Ahmedabad,noise_vibration,3,customer
R300495,P1023,SN400495,2025-08-20,Bangalore,leakage,4,customer
R300496,P1021,SN400496,2023-09-10,Kolkata,brake_shim_wear,2,dealer
R300497,P1006,SN400497,2025-07-06,Hyderabad,noise_vibration,3,dealer
R300498,P1036,SN400498,2023-08-10,Patna,pad_wear,4,dealer
R300499,P1000,SN400499,2023-08-15,Hyderabad,leakage,3,customer
R300500,P1044,SN400500,2023-07-10,Bangalore,overheating,3,customer
R300502,P1043,SN400502,2025-11-09,Patna,brake_shim_wear,1,dealer
R300503,P1004,SN400503,2023-07-02,Lucknow,leakage,3,dealer
R300504,P1047,SN400504,2024-09-13,Village_C,pad_wear,2,dealer
R300506,P1042,SN400506,2025-03-05,Jaipur,sensor_failure,1,dealer
R300507,P1045,SN400507,2025-11-01,Jaipur,pad_wear,5,customer
R300508,P1044,SN400508,2025-06-24,Ahmedabad,noise_vibration,4,dealer
R300509,P1011,SN400509,2024-02-08,Bangalore,noise_vibration,2,customer
R300510,P1004,SN400510,2025-10-28,Village_C,brake_shim_wear,3,customer
R300511,P1056,SN400511,2024-08-16,Kolkata,pad_wear,3,dealer
R300512,P1033,SN400512,2025-04-17,Lucknow,noise_vibration,3,dealer
R300513,P1013,SN400513,2023-12-21,Jaipur,noise_vibration,3,dealer
R300514,P1042,SN400514,2024-10-22,Kolkata,noise_vibration,4,customer
R300515,P1024,SN400515,2025-11-10,Delhi,leakage,3,customer
R300517,P1015,SN400517,2025-01-24,Village_C,pad_wear,4,customer
R300518,P1044,SN400518,2024-09-12,Pune,pad_wear,5,customer
R300519,P1037,SN400519,2024-05-19,Kolkata,brake_shim_wear,4,customer
R300520,P1006,SN400520,2023-10-04,Mumbai,brake_shim_wear,2,customer
R300522,P1011,SN400522,2023-12-31,Delhi,noise_vibration,3,customer
R300523,P1044,SN400523,2023-10-10,Village_A,sensor_failure,2,dealer
R300524,P1034,SN400524,2025-01-01,Nagpur,pad_wear,5,dealer
R300525,P1011,SN400525,2025-07-03,Chennai,noise_vibration,3,customer
R300526,P1014,SN400526,2025-01-30,Nagpur,noise_vibration,2,customer
