orderId,productId,date,channel,qty,unitPrice,totalPrice
O500052,P1037,2023-02-18,dealer,4,2265.36,9061.44
O500053,P1007,2023-07-10,online,21,4251.43,89280.03
O500054,P1053,2024-09-15,dealer,14,2121.38,29699.32
O500055,P1020,2023-04-14,dealer,20,2219.08,44381.6
O500056,P1034,2025-09-02,online,33,4742.5,156502.5
O500057,P1049,2024-04-02,dealer,15,1689.95,25349.25
O500058,P1045,2024-01-05,dealer,24,3072.29,73734.96
O500059,P1056,2025-06-12,online,10,2192.33,21923.3
O500061,P1013,2023-07-21,dealer,22,1984.15,43651.3
O500062,P1024,2023-05-06,online,15,1888.55,28328.25
O500065,P1027,2024-06-07,online,13,4218.18,54836.34
O500066,P1041,2025-09-03,dealer,35,3462.35,121182.25
O500067,P1055,2023-10-18,wholesale,54,2902.1,156713.4
O500068,P1003,2025-09-27,dealer,24,2539.76,60954.24
O500069,P1029,2024-04-01,wholesale,37,4741.83,175447.71
O500070,P1021,2023-02-02,online,14,2007.44,28104.16
O500071,P1040,2024-01-15,dealer,28,1097.28,30723.84
O500072,P1054,2025-05-29,dealer,29,3264.84,94680.36
O500073,P1017,2025-05-19,wholesale,86,2377.95,204503.7
O500074,P1042,2025-07-07,dealer,16,2158.4,34534.4
O500076,P1008,2023-02-25,dealer,13,4154.56,54009.28
O500079,P1022,2024-02-05,dealer,33,3425.16,113030.28
O500080,P1045,2025-03-08,dealer,26,2658.43,69119.18
O500081,P1000,2024-02-18,online,12,665.1,7981.2
O500082,P1021,2025-06-23,dealer,17,1907.9,32434.3
O500083,P1026,2024-11-20,dealer,22,4916.17,108155.74
O500085,P1054,2025-02-22,dealer,24,3191.52,76596.48
O500086,P1011,2024-03-26,dealer,22,1752.87,38563.14
O500087,P1017,2023-02-02,online,23,2246.29,51664.67
O500089,P1012,2023-06-21,dealer,24,1359.94,32638.56
O500090,P1028,2024-04-04,wholesale,78,916.89,71517.42
O500091,P1040,2025-01-08,dealer,13,1209.39,15722.07
O500092,P1007,2023-12-24,wholesale,57,4284.96,244242.72
O500093,P1050,2024-03-30,online,15,1825.43,27381.45
O500094,P1045,2023-04-17,online,32,2744.47,87823.04
O500095,P1019,2023-05-20,online,25,4367.95,109198.75
O500096,P1023,2025-02-20,online,14,2487.06,34818.84
O500098,P1031,2023-10-12,wholesale,36,5298.49,190745.64
O500100,P1022,2024-11-24,wholesale,30,3226.6,96798.0
O500101,P1043,2025-09-22,online,26,1917.09,49844.34
O500102,P1005,2023-09-14,dealer,19,2688.48,51081.12
O500103,P1056,2025-11-11,online,23,2442.45,56176.35
O500104,P1043,2025-10-31,dealer,16,1971.63,31546.08
O500106,P1045,2024-09-09,dealer,12,2883.47,34601.64
O500107,P1056,2024-11-05,dealer,1,2128.38,2128.38
O500108,P1025,2023-12-18,dealer,19,1356.09,25765.71
O500110,P1030,2023-01-16,dealer,6,3897.38,23384.28
O500111,P1013,2023-08-31,dealer,1,1643.61,1643.61
O500112,P1021,2025-06-09,wholesale,37,2012.47,74461.39
O500113,P1012,2023-02-17,dealer,7,1135.59,7949.13
O500114,P1050,2025-08-19,dealer,14,1640.94,22973.16
O500115,P1018,2023-10-21,dealer,10,1265.88,12658.8
O500116,P1048,2023-01-20,dealer,25,1588.77,39719.25
O500117,P1011,2024-11-13,wholesale,68,1689.68,114898.24
O500118,P1045,2025-10-12,dealer,19,2685.86,51031.34
O500119,P1005,2024-10-28,online,31,2287.17,70902.27
O500120,P1048,2024-10-08,online,32,1650.37,52811.84
O500121,P1051,2023-07-03,online,8,1789.17,14313.36
O500122,P1027,2025-02-05,dealer,24,3780.27,90726.48
O500123,P1026,2024-02-22,dealer,17,4915.94,83570.98
O500125,P1028,2024-09-12,dealer,32,927.24,29671.68
O500126,P1038,2023-09-16,dealer,22,2855.42,62819.24
O500127,P1028,2023-10-09,wholesale,35,867.9,30376.5
O500129,P1046,2023-03-20,online,23,3458.62,79548.26
O500130,P1057,2023-03-04,dealer,24,1422.77,34146.48
O500132,P1053,2025-10-11,online,14,2395.34,33534.76
O500133,P1001,2025-10-29,online,10,4224.27,42242.7
O500134,P1003,2024-05-25,dealer,6,2281.94,13691.64
O500135,P1007,2025-07-29,wholesale,43,4081.1,175487.3
O500136,P1008,2023-06-26,dealer,24,3825.59,91814.16
O500138,P1059,2024-04-29,wholesale,33,3619.86,119455.38
O500139,P1039,2024-08-11,dealer,18,1030.4,18547.2
O500140,P1055,2024-10-11,dealer,23,3198.86,73573.78
O500141,P1019,2025-07-27,wholesale,16,4266.2,68259.2
O500142,P1012,2024-08-26,online,19,1298.7,24675.3
O500143,P1003,2025-01-14,wholesale,42,2371.99,99623.58
O500144,P1003,2024-03-23,dealer,23,2614.09,60124.07
O500145,P1020,2023-07-13,wholesale,44,2145.59,94405.96
O500146,P1039,2023-03-23,dealer,1,1016.42,1016.42
O500147,P1029,2023-01-23,wholesale,59,4561.2,269110.8
O500148,P1053,2025-11-15,online,17,2284.73,38840.41
O500149,P1018,2024-08-19,wholesale,45,1275.1,57379.5
O500151,P1030,2024-08-12,wholesale,76,3408.56,259050.56
O500152,P1022,2023-12-17,wholesale,39,3142.2,122545.8
O500153,P1059,2023-06-04,dealer,1,3819.47,3819.47
O500154,P1009,2025-09-01,dealer,30,4110.68,123320.4
O500156,P1049,2025-01-19,online,32,1621.65,51892.8
O500157,P1032,2024-02-27,wholesale,71,911.84,64740.64
O500158,P1014,2025-01-21,online,30,2359.72,70791.6
O500159,P1041,2025-10-25,dealer,44,3749.22,164965.68
O500160,P1014,2025-02-23,online,21,2517.85,52874.85
O500161,P1050,2023-10-06,online,9,1763.66,15872.94
O500162,P1015,2024-09-26,online,8,4570.0,36560.0
O500164,P1004,2023-05-30,dealer,16,490.81,7852.96
O500165,P1038,2025-05-14,wholesale,74,3276.32,242447.68
O500167,P1052,2024-07-18,wholesale,60,1614.2,96852.0
O500168,P1057,2024-09-29,dealer,15,1399.94,20999.1
O500169,P1024,2025-10-19,dealer,11,1907.02,20977.22
O500170,P1009,2024-05-26,online,17,4643.72,78943.24
O500171,P1000,2025-06-02,wholesale,67,577.28,38677.76
O500173,P1046,2023-06-04,online,6,4160.41,24962.46
O500174,P1021,2024-11-03,online,33,1906.79,62924.07
O500175,P1023,2025-07-19,dealer,19,2641.63,50190.97
O500176,P1037,2025-11-06,dealer,22,2289.12,50360.64
O500178,P1010,2023-10-04,wholesale,62,1842.14,114212.68
O500179,P1013,2025-09-21,dealer,15,1803.14,27047.1
O500181,P1022,2024-03-29,dealer,2,3377.42,6754.84
O500182,P1033,2024-06-11,online,27,2148.9,58020.3
O500183,P1030,2024-07-23,dealer,25,4008.82,100220.5
O500184,P1026,2023-07-24,online,29,4381.83,127073.07
O500185,P1051,2024-06-24,wholesale,59,1833.77,108192.43
O500186,P1004,2025-09-19,wholesale,48,485.88,23322.24
O500187,P1035,2025-05-04,online,29,1403.71,40707.59
O500188,P1045,2024-04-21,wholesale,53,2851.85,151148.05
O500189,P1018,2023-10-28,online,17,1282.54,21803.18
O500190,P1001,2023-06-24,wholesale,79,4666.97,368690.63
O500191,P1019,2025-04-20,dealer,32,4536.11,145155.52
O500192,P1033,2023-12-20,dealer,21,2500.55,52511.55
O500194,P1008,2023-05-31,wholesale,66,3907.62,257902.92
O500195,P1019,2023-01-22,dealer,13,4026.37,52342.81
O500196,P1008,2023-07-07,dealer,13,4101.59,53320.67
O500197,P1011,2025-08-07,dealer,21,1736.65,36469.65
O500199,P1002,2025-09-06,online,13,4293.45,55814.85
O500200,P1059,2024-07-06,dealer,9,3434.66,30911.94
O500202,P1036,2023-01-17,wholesale,37,1040.7,38505.9
O500203,P1040,2024-09-01,dealer,5,1126.65,5633.25
O500204,P1026,2025-08-12,dealer,35,5053.06,176857.1
O500205,P1023,2025-09-16,online,15,2767.23,41508.45
O500207,P1027,2024-04-26,dealer,26,3966.75,103135.5
O500208,P1031,2023-06-28,wholesale,74,4599.14,340336.36
O500210,P1002,2024-06-10,online,10,4360.92,43609.2
O500211,P1050,2024-05-22,dealer,21,1699.84,35696.64
O500212,P1024,2024-04-19,dealer,12,1977.1,23725.2
O500213,P1023,2025-04-19,dealer,17,2946.48,50090.16
O500214,P1029,2024-03-05,online,21,4731.64,99364.44
O500215,P1049,2023-08-03,wholesale,46,1638.94,75391.24
O500216,P1038,2025-03-24,online,6,3051.66,18309.96
O500217,P1046,2024-05-25,wholesale,65,3847.19,250067.35
O500218,P1046,2023-12-07,wholesale,68,4211.74,286398.32
O500219,P1019,2025-08-24,dealer,17,4588.14,77998.38
O500220,P1015,2025-11-01,dealer,20,4191.35,83827.0
O500221,P1004,2025-06-15,dealer,26,480.52,12493.52
O500222,P1044,2024-06-14,wholesale,54,3215.81,173653.74
O500223,P1017,2023-02-09,dealer,10,2538.89,25388.9
O500224,P1006,2024-09-04,dealer,25,4924.14,123103.5
O500225,P1048,2023-07-06,online,25,1721.11,43027.75
O500226,P1024,2025-04-29,online,25,1971.41,49285.25
O500227,P1007,2024-06-08,wholesale,77,4394.12,338347.24
O500228,P1027,2024-10-15,online,16,3565.76,57052.16
O500229,P1036,2025-10-29,dealer,22,1040.3,22886.6
O500230,P1051,2023-12-07,dealer,25,1940.43,48510.75
O500231,P1005,2023-01-27,online,15,2699.48,40492.2
O500232,P1020,2023-05-07,wholesale,23,1941.14,44646.22
O500233,P1032,2024-10-26,online,14,988.78,13842.92
O500234,P1026,2024-04-04,dealer,17,4681.61,79587.37
O500235,P1020,2025-09-15,wholesale,40,2103.04,84121.6
O500236,P1028,2024-09-20,wholesale,38,819.8,31152.4
O500237,P1025,2024-08-13,online,23,1474.52,33913.96
O500238,P1032,2025-06-03,dealer,14,1019.42,14271.88
O500239,P1014,2023-01-18,wholesale,30,2423.28,72698.4
O500240,P1029,2025-07-11,online,17,4681.2,79580.4
O500241,P1048,2025-06-13,dealer,23,1748.79,40222.17
O500242,P1009,2025-04-24,dealer,25,4342.99,108574.75
O500243,P1021,2025-05-03,dealer,14,1998.03,27972.42
O500244,P1056,2025-06-28,dealer,22,2329.63,51251.86
O500245,P1046,2025-02-25,dealer,11,4170.63,45876.93
O500246,P1029,2024-09-06,dealer,8,5167.85,41342.8
O500247,P1005,2025-05-23,wholesale,30,2421.41,72642.3
O500248,P1025,2025-02-08,dealer,25,1520.92,38023.0
O500249,P1037,2023-04-20,online,18,2228.54,40113.72
O500250,P1031,2025-02-22,dealer,21,5126.64,107659.44
O500251,P1053,2023-12-23,dealer,22,2259.38,49706.36
O500252,P1033,2023-09-13,online,25,2404.85,60121.25
O500253,P1008,2023-05-25,wholesale,65,3698.16,240380.4
O500254,P1029,2023-05-04,wholesale,46,5022.29,231025.34
O500255,P1053,2023-05-03,online,11,2469.67,27166.37
O500256,P1022,2023-02-23,online,15,3480.83,52212.45
O500257,P1033,2024-11-19,online,30,2480.39,74411.7
O500258,P1059,2023-06-01,dealer,30,3557.78,106733.4
O500259,P1016,2025-10-22,dealer,20,1293.81,25876.2
O500261,P1026,2025-06-01,online,22,5296.69,116527.18
O500262,P1057,2025-05-19,wholesale,47,1358.6,63854.2
O500263,P1028,2023-07-13,wholesale,88,930.85,81914.8
O500266,P1047,2024-06-07,online,16,2671.09,42737.44
O500267,P1039,2024-04-30,online,1,967.53,967.53
O500268,P1006,2025-09-27,dealer,24,4423.91,106173.84
O500269,P1040,2025-08-04,online,13,1085.06,14105.78
O500270,P1017,2025-04-13,wholesale,73,2224.68,162401.64
O500271,P1018,2023-04-17,dealer,13,1095.52,14241.76
O500272,P1052,2024-03-31,dealer,8,1434.73,11477.84
O500273,P1020,2023-10-29,online,31,2066.25,64053.75
O500274,P1043,2025-11-11,dealer,11,1995.32,21948.52
O500275,P1003,2024-03-11,online,3,2228.45,6685.35
O500276,P1035,2025-06-07,dealer,21,1356.8,28492.8
O500277,P1055,2025-05-14,dealer,12,2983.07,35796.84
O500278,P1001,2025-03-05,wholesale,64,4735.66,303082.24
O500279,P1055,2023-12-21,dealer,19,3133.89,59543.91
O500281,P1027,2024-10-15,wholesale,42,3899.57,163781.94
O500282,P1034,2024-01-29,dealer,25,4603.32,115083.0
O500283,P1042,2023-03-17,wholesale,104,2230.26,231947.04
O500286,P1009,2025-11-01,online,21,4082.12,85724.52
O500287,P1023,2024-09-18,wholesale,55,2718.6,149523.0
O500288,P1013,2025-06-12,online,26,1950.38,50709.88
O500289,P1056,2023-06-24,online,16,2086.06,33376.96
O500290,P1036,2025-11-04,online,18,1028.05,18504.9
O500291,P1001,2025-01-25,online,31,4994.16,154818.96
O500293,P1052,2023-11-05,dealer,13,1469.71,19106.23
O500294,P1004,2025-02-23,dealer,26,520.85,13542.1
O500296,P1028,2025-07-22,wholesale,44,915.71,40291.24
O500297,P1007,2025-08-15,dealer,21,4297.9,90255.9
O500298,P1001,2025-03-20,dealer,16,4668.21,74691.36
O500299,P1029,2025-05-26,online,27,4774.43,128909.61
O500300,P1045,2024-06-14,dealer,15,2982.53,44737.95
O500301,P1033,2023-10-01,dealer,33,2338.91,77184.03
O500302,P1001,2024-12-09,online,24,4671.51,112116.24
O500303,P1034,2023-09-30,online,1,4333.31,4333.31
O500304,P1022,2023-10-31,wholesale,41,3288.46,134826.86
O500305,P1004,2024-01-04,dealer,1,534.04,534.04
O500306,P1024,2025-04-20,wholesale,41,1874.25,76844.25
O500307,P1048,2023-06-25,dealer,28,1619.61,45349.08
O500308,P1019,2025-03-27,dealer,43,3910.5,168151.5
O500309,P1051,2025-01-15,dealer,33,1716.98,56660.34
O500310,P1048,2023-04-25,online,13,1646.15,21399.95
O500311,P1005,2023-03-02,dealer,4,2661.83,10647.32
O500312,P1011,2025-09-17,dealer,24,1514.18,36340.32
O500314,P1055,2024-03-13,online,38,3014.08,114535.04
O500315,P1045,2024-04-24,dealer,9,2604.36,23439.24
O500317,P1050,2025-10-19,online,15,1703.34,25550.1
O500318,P1004,2023-05-13,online,22,471.86,10380.92
O500319,P1046,2023-08-14,dealer,13,3519.75,45756.75
O500320,P1024,2023-03-27,dealer,22,1998.94,43976.68
O500321,P1036,2025-08-24,wholesale,77,1066.3,82105.1
O500322,P1001,2023-06-14,dealer,22,4213.11,92688.42
O500323,P1015,2023-01-21,dealer,16,5000.7,80011.2
O500324,P1010,2023-01-30,online,1,1545.23,1545.23
O500326,P1051,2024-01-19,online,20,1727.49,34549.8
O500327,P1025,2024-06-26,wholesale,53,1438.29,76229.37
O500328,P1027,2024-03-07,dealer,26,4079.09,106056.34
O500329,P1019,2023-12-21,online,20,4171.19,83423.8
O500331,P1013,2023-05-30,dealer,27,1791.37,48366.99
O500333,P1005,2024-06-23,dealer,6,2687.51,16125.06
O500334,P1042,2024-04-15,dealer,11,1932.21,21254.31
O500335,P1056,2025-06-30,wholesale,49,2355.4,115414.6
O500336,P1028,2025-09-26,dealer,18,842.28,15161.04
O500337,P1008,2024-09-16,dealer,26,4009.24,104240.24
O500338,P1002,2024-05-11,dealer,19,4478.3,85087.7
O500339,P1058,2024-08-31,dealer,23,4398.95,101175.85
O500340,P1011,2023-04-04,dealer,20,1693.04,33860.8
O500342,P1018,2023-02-14,dealer,35,1127.44,39460.4
O500343,P1055,2025-02-05,dealer,36,2995.75,107847.0
O500345,P1009,2024-12-25,online,1,4233.66,4233.66
O500346,P1042,2023-12-11,dealer,27,2234.58,60333.66
O500347,P1012,2024-05-16,dealer,9,1332.56,11993.04
O500348,P1012,2023-12-12,dealer,5,1194.35,5971.75
O500349,P1019,2023-09-20,dealer,16,4641.19,74259.04
O500350,P1057,2025-08-08,dealer,16,1289.08,20625.28
O500351,P1016,2023-01-29,dealer,18,1362.26,24520.68
O500353,P1043,2024-06-25,wholesale,33,1801.3,59442.9
O500354,P1018,2025-08-16,wholesale,34,1225.59,41670.06
O500355,P1021,2024-12-27,online,14,1912.16,26770.24
O500357,P1023,2024-03-31,dealer,5,2632.24,13161.2
O500358,P1015,2023-12-08,dealer,10,4636.54,46365.4
O500359,P1017,2024-02-22,dealer,26,2488.86,64710.36
O500360,P1011,2023-03-18,wholesale,39,1750.35,68263.65
O500361,P1050,2024-11-08,dealer,13,1612.89,20967.57
O500362,P1011,2023-09-22,online,14,1734.8,24287.2
O500363,P1038,2024-01-10,dealer,7,2787.85,19514.95
O500366,P1012,2025-06-10,online,22,1164.29,25614.38
O500367,P1045,2025-09-09,dealer,34,2656.62,90325.08
O500369,P1038,2025-04-27,dealer,29,2794.67,81045.43
O500370,P1052,2025-09-30,dealer,22,1430.57,31472.54
O500371,P1057,2025-07-26,online,37,1405.42,52000.54
O500372,P1047,2025-03-01,dealer,21,2511.61,52743.81
O500373,P1052,2023-07-13,dealer,7,1640.14,11480.98
O500374,P1032,2025-10-18,dealer,1,885.51,885.51
O500375,P1016,2024-05-23,dealer,35,1222.24,42778.4
O500376,P1029,2024-04-25,online,5,4807.97,24039.85
O500377,P1050,2025-01-23,dealer,14,1816.17,25426.38
O500378,P1055,2025-08-04,dealer,26,3342.14,86895.64
O500380,P1034,2025-11-03,dealer,14,4421.33,61898.62
O500381,P1024,2024-11-18,dealer,9,1926.6,17339.4
O500382,P1044,2023-04-11,wholesale,34,3682.74,125213.16
O500383,P1022,2025-01-06,online,26,3344.04,86945.04
O500384,P1013,2024-06-19,online,12,1811.19,21734.28
O500385,P1023,2024-01-21,wholesale,57,2726.38,155403.66
O500386,P1045,2025-01-21,online,18,3013.97,54251.46
O500387,P1028,2024-07-26,dealer,7,816.55,5715.85
O500388,P1048,2025-01-12,online,36,1529.99,55079.64
O500389,P1035,2023-04-03,wholesale,36,1466.44,52791.84
O500390,P1000,2025-02-25,wholesale,68,596.76,40579.68
O500391,P1015,2025-05-28,dealer,31,4514.06,139935.86
O500392,P1010,2025-10-02,online,32,1585.6,50739.2
O500393,P1046,2024-12-06,wholesale,60,3664.81,219888.6
O500395,P1015,2025-08-14,dealer,11,4985.25,54837.75
O500396,P1037,2024-07-23,dealer,30,2321.64,69649.2
O500397,P1051,2024-04-08,dealer,9,2030.81,18277.29
O500398,P1038,2023-01-06,dealer,25,3202.09,80052.25
O500400,P1034,2025-11-04,dealer,22,4850.57,106712.54
O500401,P1056,2025-07-05,online,28,2160.85,60503.8
O500402,P1044,2023-10-24,online,26,3148.37,81857.62
O500403,P1025,2025-11-07,dealer,9,1410.35,12693.15
O500404,P1056,2023-05-07,online,10,2268.63,22686.3
O500405,P1048,2023-07-22,dealer,15,1610.94,24164.1
O500406,P1027,2024-11-04,dealer,33,4014.78,132487.74
O500407,P1015,2024-07-21,wholesale,59,4513.71,266308.89
O500409,P1055,2023-09-03,dealer,28,2850.95,79826.6
O500410,P1054,2024-10-02,wholesale,26,2931.97,76231.22
O500411,P1008,2023-10-21,dealer,30,3888.34,116650.2
O500412,P1040,2025-07-19,dealer,11,1152.04,12672.44
O500414,P1025,2024-11-15,online,13,1391.98,18095.74
O500415,P1007,2023-06-14,online,11,3753.75,41291.25
O500416,P1030,2023-08-21,online,12,3636.08,43632.96
O500417,P1019,2025-06-06,dealer,7,4278.9,29952.3
O500418,P1001,2023-11-09,online,21,4868.29,102234.09
O500420,P1003,2024-11-20,wholesale,48,2359.05,113234.4
O500421,P1031,2025-03-13,dealer,12,5149.78,61797.36
O500422,P1034,2023-12-27,wholesale,38,4921.51,187017.38
O500423,P1031,2024-09-21,online,2,5160.74,10321.48
O500424,P1018,2024-01-07,online,9,1141.29,10271.61
O500425,P1005,2024-05-18,wholesale,64,2697.65,172649.6
O500426,P1029,2023-09-22,dealer,23,5182.33,119193.59
O500427,P1021,2023-12-13,dealer,12,2020.46,24245.52
O500428,P1020,2024-12-02,wholesale,84,2118.52,177955.68
O500430,P1044,2023-04-26,online,31,3542.83,109827.73
O500431,P1027,2023-09-17,wholesale,55,3668.52,201768.6
O500432,P1054,2023-06-03,dealer,6,3140.35,18842.1
O500433,P1046,2023-10-08,online,58,3866.31,224245.98
O500434,P1009,2024-08-03,dealer,20,4716.02,94320.4
O500436,P1031,2023-06-02,dealer,24,4598.92,110374.08
O500437,P1013,2023-08-07,dealer,11,1941.92,21361.12
O500438,P1023,2024-04-25,online,24,2596.46,62315.04
O500440,P1020,2023-06-13,wholesale,55,1968.49,108266.95
O500441,P1009,2024-10-05,wholesale,28,3959.67,110870.76
O500442,P1011,2025-08-24,wholesale,28,1635.38,45790.64
O500443,P1024,2024-08-13,wholesale,69,2129.96,146967.24
O500444,P1035,2024-07-09,dealer,34,1312.89,44638.26
O500445,P1059,2023-08-28,dealer,24,3683.15,88395.6
O500446,P1038,2023-09-09,dealer,2,3095.37,6190.74
O500447,P1018,2024-01-10,dealer,14,1276.67,17873.38
O500448,P1010,2025-04-14,dealer,11,1695.03,18645.33
O500449,P1013,2024-07-12,wholesale,69,1873.13,129245.97
O500450,P1009,2024-10-25,dealer,7,4235.52,29648.64
O500451,P1059,2024-12-18,dealer,31,3953.75,122566.25
O500452,P1011,2025-09-26,wholesale,34,1713.03,58243.02
O500453,P1008,2025-08-20,wholesale,42,4053.9,170263.8
O500454,P1037,2025-04-21,dealer,20,2165.67,43313.4
O500455,P1045,2023-08-29,dealer,13,2606.29,33881.77
O500456,P1019,2025-09-28,online,3,4161.66,12484.98
O500457,P1031,2024-02-24,wholesale,26,5288.03,137488.78
O500458,P1021,2025-08-28,online,13,1911.33,24847.29
O500459,P1045,2023-03-23,online,21,2869.05,60250.05
O500460,P1013,2023-05-26,wholesale,49,1861.8,91228.2
O500461,P1013,2025-06-18,dealer,20,1793.61,35872.2
O500462,P1009,2023-01-13,online,20,4154.18,83083.6
O500463,P1001,2025-05-21,wholesale,40,4170.31,166812.4
O500464,P1052,2023-11-11,dealer,13,1386.96,18030.48
O500465,P1009,2023-11-13,online,26,4120.14,107123.64
O500466,P1006,2025-10-28,wholesale,49,4613.51,226061.99
O500467,P1009,2023-06-03,dealer,29,4534.85,131510.65
O500468,P1019,2023-09-23,dealer,10,4555.17,45551.7
O500469,P1025,2024-12-04,dealer,7,1331.01,9317.07
O500470,P1000,2024-05-17,online,38,636.87,24201.06
O500471,P1038,2025-09-07,online,27,3088.93,83401.11
O500472,P1023,2024-08-01,wholesale,79,2973.67,234919.93
O500473,P1012,2025-03-23,dealer,43,1294.22,55651.46
O500474,P1006,2024-12-21,dealer,20,5113.6,102272.0
O500475,P1007,2024-06-06,dealer,19,4026.57,76504.83
O500477,P1026,2024-05-09,wholesale,61,4475.06,272978.66
O500478,P1043,2024-01-08,dealer,16,1870.99,29935.84
O500479,P1008,2023-10-10,dealer,16,3809.41,60950.56
O500480,P1025,2023-02-16,online,42,1503.28,63137.76
O500483,P1012,2025-05-13,online,16,1138.29,18212.64
O500485,P1011,2023-10-30,online,36,1521.2,54763.2
O500486,P1034,2023-12-06,dealer,12,4556.16,54673.92
O500487,P1038,2023-10-06,dealer,27,2796.0,75492.0
O500488,P1050,2023-09-28,online,14,1874.08,26237.12
O500489,P1048,2025-06-28,dealer,33,1643.88,54248.04
O500490,P1013,2025-01-07,wholesale,30,1785.4,53562.0
O500491,P1055,2025-08-10,online,22,2870.05,63141.1
O500492,P1012,2025-11-15,online,8,1340.84,10726.72
O500493,P1058,2024-03-07,online,35,4705.07,164677.45
O500494,P1040,2024-03-11,dealer,36,1143.46,41164.56
O500495,P1058,2025-02-08,dealer,11,4891.9,53810.9
O500496,P1054,2024-05-11,dealer,42,3184.3,133740.6
O500498,P1037,2025-01-03,dealer,26,2212.78,57532.28
O500499,P1003,2024-09-03,online,19,2473.04,46987.76
O500500,P1041,2024-12-25,wholesale,96,3449.9,331190.4
O500501,P1011,2025-01-08,online,30,1521.35,45640.5
O500502,P1046,2024-01-25,dealer,5,3875.01,19375.05
O500503,P1026,2024-01-12,dealer,16,4757.64,76122.24
O500504,P1021,2023-05-10,wholesale,58,1965.09,113975.22
O500505,P1042,2025-07-13,dealer,29,2289.53,66396.37
O500506,P1015,2025-01-05,dealer,27,4660.35,125829.45
O500508,P1010,2023-11-03,dealer,4,1752.27,7009.08
O500509,P1011,2024-01-25,online,13,1684.77,21902.01
O500510,P1051,2023-02-13,dealer,23,1978.0,45494.0
O500511,P1027,2023-01-15,dealer,40,4088.46,163538.4
O500512,P1055,2025-11-09,dealer,10,3210.47,32104.7
O500513,P1055,2024-08-18,dealer,27,2942.15,79438.05
O500514,P1026,2025-01-11,dealer,36,4673.13,168232.68
O500516,P1020,2025-04-05,online,28,1955.82,54762.96
O500517,P1052,2024-03-30,wholesale,16,1526.66,24426.56
O500518,P1029,2023-04-11,dealer,7,4845.53,33918.71
O500519,P1029,2023-03-29,dealer,16,4956.36,79301.76
O500520,P1036,2023-03-08,dealer,27,1071.12,28920.24
O500521,P1047,2025-08-03,dealer,36,2881.11,103719.96
O500522,P1009,2023-06-23,online,14,4529.3,63410.2
O500523,P1026,2023-02-07,dealer,19,4701.0,89319.0
